|provider    |sport_code|external_league_id|season|missing_provider_team_id|total_usage_count|
|api_football|football  |61                |2023  |80                      |34               |
|api_football|football  |61                |2023  |81                      |34               |
|api_football|football  |61                |2023  |83                      |34               |
|api_football|football  |61                |2023  |84                      |34               |
|api_football|football  |61                |2023  |85                      |34               |
|api_football|football  |61                |2023  |94                      |34               |
|api_football|football  |61                |2023  |95                      |34               |
|api_football|football  |61                |2023  |96                      |34               |
|api_football|football  |61                |2023  |97                      |34               |
|api_football|football  |61                |2024  |108                     |34               |
|api_football|football  |61                |2024  |77                      |34               |
|api_football|football  |61                |2024  |79                      |34               |
|api_football|football  |61                |2024  |80                      |34               |
|api_football|football  |61                |2024  |81                      |34               |
|api_football|football  |61                |2024  |83                      |34               |
|api_football|football  |61                |2024  |84                      |34               |
|api_football|football  |61                |2024  |85                      |34               |
|api_football|football  |61                |2024  |94                      |34               |
|api_football|football  |61                |2024  |95                      |34               |
|api_football|football  |61                |2024  |96                      |34               |
|api_football|football  |62                |2024  |97                      |34               |
|api_football|football  |78                |2022  |160                     |34               |
|api_football|football  |78                |2022  |161                     |34               |
|api_football|football  |78                |2022  |164                     |34               |
|api_football|football  |78                |2022  |165                     |34               |
|api_football|football  |78                |2022  |168                     |34               |
|api_football|football  |78                |2022  |169                     |34               |
|api_football|football  |78                |2022  |173                     |34               |
|api_football|football  |78                |2023  |160                     |34               |
|api_football|football  |78                |2023  |161                     |34               |
|api_football|football  |78                |2023  |164                     |34               |
|api_football|football  |78                |2023  |165                     |34               |
|api_football|football  |78                |2023  |168                     |34               |
|api_football|football  |78                |2023  |169                     |34               |
|api_football|football  |78                |2023  |172                     |34               |
|api_football|football  |78                |2023  |173                     |34               |
|api_football|football  |78                |2023  |180                     |34               |
|api_football|football  |78                |2024  |160                     |34               |
|api_football|football  |78                |2024  |161                     |34               |
|api_football|football  |78                |2024  |164                     |34               |
|api_football|football  |78                |2024  |165                     |34               |
|api_football|football  |78                |2024  |168                     |34               |
|api_football|football  |78                |2024  |169                     |34               |
|api_football|football  |78                |2024  |172                     |34               |
|api_football|football  |78                |2024  |173                     |34               |
|api_football|football  |78                |2024  |186                     |34               |
|api_football|football  |79                |2022  |175                     |34               |
|api_football|football  |79                |2022  |180                     |34               |
|api_football|football  |79                |2022  |186                     |34               |
|api_football|football  |79                |2023  |175                     |34               |
|api_football|football  |79                |2023  |186                     |34               |
|api_football|football  |79                |2024  |175                     |34               |
|api_football|football  |88                |2022  |196                     |34               |
|api_football|football  |88                |2022  |197                     |34               |
|api_football|football  |88                |2022  |201                     |34               |
|api_football|football  |88                |2022  |202                     |34               |
|api_football|football  |88                |2022  |205                     |34               |
|api_football|football  |88                |2022  |413                     |34               |
|api_football|football  |88                |2022  |416                     |34               |
|api_football|football  |88                |2023  |197                     |34               |
|api_football|football  |88                |2023  |201                     |34               |
|api_football|football  |88                |2023  |205                     |34               |
|api_football|football  |88                |2023  |210                     |34               |
|api_football|football  |88                |2023  |416                     |34               |
|api_football|football  |88                |2024  |197                     |34               |
|api_football|football  |88                |2024  |202                     |34               |
|api_football|football  |88                |2024  |205                     |34               |
|api_football|football  |88                |2024  |426                     |34               |
|api_football|football  |94                |2022  |211                     |34               |
|api_football|football  |94                |2022  |230                     |34               |
|api_football|football  |94                |2022  |240                     |34               |
|api_football|football  |94                |2022  |242                     |34               |
|api_football|football  |94                |2022  |4716                    |34               |
