|sort_order|table_schema|table_name              |ordinal_position|column_name                |data_type               |udt_name   |is_nullable|column_default                                          |
|9         |ops         |scheduler_queue         |5               |canonical_league_id        |bigint                  |int8       |NO         |                                                        |
|9         |ops         |scheduler_queue         |6               |provider                   |text                    |text       |NO         |                                                        |
|9         |ops         |scheduler_queue         |7               |provider_league_id         |text                    |text       |NO         |                                                        |
|9         |ops         |scheduler_queue         |8               |season                     |text                    |text       |NO         |''::text                                                |
|9         |ops         |scheduler_queue         |9               |tier                       |integer                 |int4       |NO         |                                                        |
|9         |ops         |scheduler_queue         |10              |run_group                  |text                    |text       |YES        |                                                        |
|9         |ops         |scheduler_queue         |11              |max_requests_per_run       |integer                 |int4       |NO         |1                                                       |
|9         |ops         |scheduler_queue         |12              |status                     |text                    |text       |NO         |'pending'::text                                         |
|9         |ops         |scheduler_queue         |13              |selected_by                |text                    |text       |NO         |'run_multisport_scheduler_v3'::text                     |
|9         |ops         |scheduler_queue         |14              |selected_at                |timestamp with time zone|timestamptz|NO         |now()                                                   |
|9         |ops         |scheduler_queue         |15              |started_at                 |timestamp with time zone|timestamptz|YES        |                                                        |
|9         |ops         |scheduler_queue         |16              |finished_at                |timestamp with time zone|timestamptz|YES        |                                                        |
|9         |ops         |scheduler_queue         |17              |message                    |text                    |text       |YES        |                                                        |
|10        |ops         |worker_locks            |1               |lock_name                  |text                    |text       |NO         |                                                        |
|10        |ops         |worker_locks            |2               |owner_id                   |text                    |text       |YES        |                                                        |
|10        |ops         |worker_locks            |3               |acquired_at                |timestamp with time zone|timestamptz|YES        |                                                        |
|10        |ops         |worker_locks            |4               |expires_at                 |timestamp with time zone|timestamptz|YES        |                                                        |
|10        |ops         |worker_locks            |5               |heartbeat_at               |timestamp with time zone|timestamptz|YES        |                                                        |
|10        |ops         |worker_locks            |6               |note                       |text                    |text       |YES        |                                                        |
|10        |ops         |worker_locks            |7               |created_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|10        |ops         |worker_locks            |8               |updated_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|11        |ops         |provider_entity_coverage|1               |id                         |bigint                  |int8       |NO         |nextval('ops.provider_entity_coverage_id_seq'::regclass)|
|11        |ops         |provider_entity_coverage|2               |provider                   |text                    |text       |NO         |                                                        |
|11        |ops         |provider_entity_coverage|3               |sport_code                 |text                    |text       |NO         |                                                        |
|11        |ops         |provider_entity_coverage|4               |entity                     |text                    |text       |NO         |                                                        |
|11        |ops         |provider_entity_coverage|5               |coverage_status            |text                    |text       |NO         |'planned'::text                                         |
|11        |ops         |provider_entity_coverage|6               |is_enabled                 |boolean                 |bool       |NO         |true                                                    |
|11        |ops         |provider_entity_coverage|7               |provider_priority          |integer                 |int4       |NO         |100                                                     |
|11        |ops         |provider_entity_coverage|8               |merge_priority             |integer                 |int4       |NO         |100                                                     |
|11        |ops         |provider_entity_coverage|9               |fetch_priority             |integer                 |int4       |NO         |100                                                     |
|11        |ops         |provider_entity_coverage|10              |quality_rating             |text                    |text       |NO         |'unknown'::text                                         |
|11        |ops         |provider_entity_coverage|11              |availability_scope         |text                    |text       |NO         |'unknown'::text                                         |
|11        |ops         |provider_entity_coverage|12              |free_plan_supported        |boolean                 |bool       |NO         |false                                                   |
|11        |ops         |provider_entity_coverage|13              |paid_plan_supported        |boolean                 |bool       |NO         |false                                                   |
|11        |ops         |provider_entity_coverage|14              |expected_depth             |text                    |text       |NO         |'unknown'::text                                         |
|11        |ops         |provider_entity_coverage|15              |is_primary_source          |boolean                 |bool       |NO         |false                                                   |
|11        |ops         |provider_entity_coverage|16              |is_fallback_source         |boolean                 |bool       |NO         |false                                                   |
|11        |ops         |provider_entity_coverage|17              |is_merge_source            |boolean                 |bool       |NO         |true                                                    |
|11        |ops         |provider_entity_coverage|18              |source_endpoint            |text                    |text       |YES        |                                                        |
|11        |ops         |provider_entity_coverage|19              |target_table               |text                    |text       |YES        |                                                        |
|11        |ops         |provider_entity_coverage|20              |worker_script              |text                    |text       |YES        |                                                        |
|11        |ops         |provider_entity_coverage|21              |notes                      |text                    |text       |YES        |                                                        |
|11        |ops         |provider_entity_coverage|22              |limitations                |text                    |text       |YES        |                                                        |
|11        |ops         |provider_entity_coverage|23              |next_action                |text                    |text       |YES        |                                                        |
|11        |ops         |provider_entity_coverage|24              |created_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|11        |ops         |provider_entity_coverage|25              |updated_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|12        |ops         |provider_people_audit   |1               |id                         |bigint                  |int8       |NO         |nextval('ops.provider_people_audit_id_seq'::regclass)   |
|12        |ops         |provider_people_audit   |2               |provider                   |text                    |text       |NO         |                                                        |
|12        |ops         |provider_people_audit   |3               |sport_code                 |text                    |text       |NO         |                                                        |
|12        |ops         |provider_people_audit   |4               |entity                     |text                    |text       |NO         |                                                        |
|12        |ops         |provider_people_audit   |5               |provider_role              |text                    |text       |YES        |                                                        |
|12        |ops         |provider_people_audit   |6               |source_category            |text                    |text       |YES        |                                                        |
|12        |ops         |provider_people_audit   |7               |endpoint_name              |text                    |text       |YES        |                                                        |
|12        |ops         |provider_people_audit   |8               |endpoint_exists            |boolean                 |bool       |NO         |false                                                   |
|12        |ops         |provider_people_audit   |9               |endpoint_tested            |boolean                 |bool       |NO         |false                                                   |
|12        |ops         |provider_people_audit   |10              |endpoint_returns_data      |boolean                 |bool       |NO         |false                                                   |
|12        |ops         |provider_people_audit   |11              |usable_for_league          |boolean                 |bool       |NO         |false                                                   |
|12        |ops         |provider_people_audit   |12              |usable_for_team            |boolean                 |bool       |NO         |false                                                   |
|12        |ops         |provider_people_audit   |13              |usable_for_season          |boolean                 |bool       |NO         |false                                                   |
|12        |ops         |provider_people_audit   |14              |technical_status           |text                    |text       |YES        |                                                        |
|12        |ops         |provider_people_audit   |15              |data_quality_status        |text                    |text       |YES        |                                                        |
|12        |ops         |provider_people_audit   |16              |final_verdict              |text                    |text       |YES        |                                                        |
|12        |ops         |provider_people_audit   |17              |requires_pro               |boolean                 |bool       |NO         |false                                                   |
|12        |ops         |provider_people_audit   |18              |alternative_provider_needed|boolean                 |bool       |NO         |false                                                   |
|12        |ops         |provider_people_audit   |19              |evidence_note              |text                    |text       |YES        |                                                        |
|12        |ops         |provider_people_audit   |20              |next_step                  |text                    |text       |YES        |                                                        |
|12        |ops         |provider_people_audit   |21              |priority_rank              |integer                 |int4       |YES        |                                                        |
|12        |ops         |provider_people_audit   |22              |created_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|12        |ops         |provider_people_audit   |23              |updated_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|13        |ops         |sports_import_plan      |1               |id                         |bigint                  |int8       |NO         |nextval('ops.sports_import_plan_id_seq'::regclass)      |
|13        |ops         |sports_import_plan      |2               |sport_code                 |text                    |text       |NO         |                                                        |
