|provider    |external_team_id|team_name                 |country_name            |external_league_id|season|
|api_football|21421           |Kampong                   |Netherlands             |1004              |2024  |
|api_football|5490            |Kapaz                     |Azerbaijan              |420               |2024  |
|api_football|7306            |Karlovy Vary              |Czech-Republic          |348               |2022  |
|api_football|1095            |Kazakhstan                |Kazakhstan              |10                |2024  |
|api_football|1511            |Kenya                     |Kenya                   |10                |2024  |
|api_football|11034           |Kenya U20                 |Kenya                   |10                |2024  |
|api_football|805             |Kitakyushu                |Japan                   |100               |2024  |
|api_football|4212            |Kokand-1912               |Uzbekistan              |1075              |2024  |
|api_football|4374            |Koper                     |Slovenia                |373               |2022  |
|api_football|1111            |Kosovo                    |Kosovo                  |10                |2024  |
|api_football|14504           |Kreuzlingen               |Switzerland             |1005              |2024  |
|api_football|4375            |Krka                      |Slovenia                |374               |2022  |
|api_football|1570            |Kuwait                    |Kuwait                  |10                |2024  |
|api_football|1554            |Kyrgyzstan                |Kyrgyzstan              |10                |2024  |
|api_football|6628            |Lancy                     |Switzerland             |1005              |2024  |
|api_football|5265            |Langreo                   |Spain                   |143               |2024  |
|api_football|9797            |Lanzarote                 |Spain                   |143               |2024  |
|api_football|1558            |Laos                      |Laos                    |10                |2024  |
|api_football|534             |Las Palmas                |Spain                   |143               |2024  |
|api_football|9395            |Las Rozas                 |Spain                   |143               |2024  |
|api_football|804             |Latina                    |Italy                   |943               |2022  |
|api_football|1092            |Latvia                    |Latvia                  |10                |2024  |
|api_football|1014            |Lausanne                  |Switzerland             |208               |2022  |
|api_football|12693           |Lausanne Sport II         |Switzerland             |1005              |2024  |
|api_football|1551            |Lebanon                   |Lebanon                 |10                |2024  |
|api_football|537             |Leganes                   |Spain                   |143               |2024  |
|api_football|339             |Legia Warszawa            |Poland                  |106               |2022  |
|api_football|116             |Lens                      |France                  |61                |2022  |
|api_football|1518            |Lesotho                   |Lesotho                 |10                |2024  |
|api_football|957             |Levadiakos                |Greece                  |197               |2022  |
|api_football|646             |Levski Sofia              |Bulgaria                |172               |2022  |
|api_football|1526            |Libya                     |Libya                   |10                |2024  |
|api_football|3387            |Lida                      |Belarus                 |117               |2022  |
|api_football|1107            |Liechtenstein             |Liechtenstein           |10                |2024  |
|api_football|9627            |Llanera                   |Spain                   |143               |2024  |
|api_football|5266            |Lleida Esportiu           |Spain                   |143               |2024  |
|api_football|858             |Lokomotiv Plovdiv         |Bulgaria                |172               |2022  |
|api_football|1416            |Lokomotiv Sofia           |Bulgaria                |172               |2022  |
|api_football|97              |Lorient                   |France                  |61                |2022  |
|api_football|566             |Ludogorets                |Bulgaria                |172               |2022  |
|api_football|1102            |Luxembourg                |Luxembourg              |10                |2024  |
|api_football|625             |Lyngby                    |Denmark                 |119               |2022  |
|api_football|4495            |Maccabi Petah Tikva       |Israel                  |382               |2022  |
