|external_league_id|league_name                            |country_name          |season|is_active|raw_payload_id|created_at                   |
|113               |Handbollsligan                         |Sweden                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|114               |SHE Women                              |Sweden                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|128               |Swedish Cup                            |Sweden                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|129               |Swedish Cup Women                      |Sweden                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|115               |NLA                                    |Switzerland           |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|117               |Schweizer Cup                          |Switzerland           |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|118               |Schweizer Cup Women                    |Switzerland           |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|116               |SPL Women                              |Switzerland           |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|119               |Super Cup                              |Switzerland           |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|130               |Super Cup Women                        |Switzerland           |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|120               |Superlig                               |Turkey                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|121               |Superlig Women                         |Turkey                |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|122               |Superleague                            |Ukraine               |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|194               |Club Friendly                          |World                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|195               |Club Friendly Women                    |World                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|196               |Friendly International                 |World                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|197               |Friendly International Women           |World                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|155               |Olympic Games                          |World                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|213               |Posten Cup Women                       |World                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|165               |South and Central American Championship|World                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|158               |World Championship U18 Women           |World                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
|154               |World Championship Women               |World                 |2024  |false    |487           |2026-04-18 22:02:14.944 +0200|
