change_type,category,relative_path,old_modified_at,new_modified_at,old_size_bytes,new_size_bytes
NEW,scripts,00_Schema\030_ingest_schema.sql\031_external_ids.sql,,2026-02-12 22:33:32,,624
NEW,scripts,00_Schema\030_ingest_schema.sql\032_bookmakers_ext_key.sql,,2026-02-12 22:36:44,,229
NEW,scripts,00_Schema\030_ingest_schema.sql\033_team_aliases.sql,,2026-02-15 14:56:59,,274
NEW,scripts,00_Schema\030_ingest_schema.sql\034_team_aliases_seed_football_data_uk_epl.sql,,2026-02-15 15:07:31,,1151
NEW,scripts,00_Schema\030_ingest_schema.sql\035_ops_create_ingest_planner.sql,,2026-03-13 15:25:23,,0
NEW,scripts,00_Schema\030_ingest_schema.sql\036_ops_create_worker_locks.sql,,2026-03-13 15:38:16,,0
NEW,scripts,00_Schema\030_ingest_schema.sql\037_ops_insert_job_ingest_cycle_v2.sql,,2026-03-13 20:36:39,,0
NEW,scripts,00_Schema\030_ingest_schema.sql\038_ops_create_dashboard_views.sql,,2026-03-13 20:36:43,,0
NEW,scripts,00_Schema\030_ingest_schema.sql\039_ops_insert_job_unified_staging_to_public_merge.sql,,2026-03-13 21:05:12,,0
NEW,scripts,00_Schema\040_match_features\040_match_features.sql,,2026-02-15 13:46:57,,610
NEW,scripts,00_Schema\050_ml_dataset_view.sql\050_ml_dataset_view.sql,,2026-02-16 22:12:34,,803
NEW,scripts,00_Schema\050_ml_dataset_view.sql\051_ml_dataset_view_V2.sql,,2026-02-18 10:16:29,,1423
NEW,scripts,00_Schema\050_ml_dataset_view.sql\052_ml_predictions.sql,,2026-02-16 16:00:55,,1055
NEW,scripts,00_Schema\050_ml_dataset_view.sql\053_ml_predict_dataset_view.sql,,2026-02-16 16:00:54,,708
NEW,scripts,00_Schema\050_ml_dataset_view.sql\054_ml_fair_odds_view.sql,,2026-02-16 16:28:43,,723
NEW,scripts,00_Schema\050_ml_dataset_view.sql\055_ml_market_odds_view.sql,,2026-02-16 16:56:06,,1783
NEW,scripts,00_Schema\050_ml_dataset_view.sql\056_ml_value_view.sql,,2026-02-16 17:09:35,,407
NEW,scripts,00_Schema\050_ml_dataset_view.sql\057_ml_value_ev_view.sql,,2026-02-16 17:09:32,,830
NEW,scripts,00_Schema\050_ml_dataset_view.sql\058_ml_block_candidates_view.sql,,2026-02-16 21:27:15,,928
NEW,scripts,00_Schema\050_ml_dataset_view.sql\059_ml_feed_value_picks_view.sql,,2026-02-16 21:30:23,,1620
NEW,scripts,00_Schema\060_mmr_ratings.sql\060_mmr_ratings.sql,,2026-02-16 22:13:35,,1288
NEW,scripts,00_Schema\070_ml_predictions.sql\070_ml_predictions.sql,,2026-02-19 10:48:28,,1235
NEW,scripts,00_Schema\210_create_staging_api_hockey.sql,,2026-02-28 20:43:25,,668
NEW,scripts,01_seed\001_seed_languages_asia.sql,,2026-03-06 14:20:54,,0
NEW,scripts,01_seed\002_seed_Global_language .sql,,2026-03-06 14:25:26,,0
NEW,scripts,01_seed\003_seed_data_providers.sql,,2026-03-06 14:29:25,,0
NEW,scripts,01_seed\004_seed_countries.sql,,2026-03-06 14:43:55,,0
NEW,scripts,01_seed\005_seed_seasons_from_leagues_smart.sql,,2026-03-06 15:13:11,,0
NEW,scripts,01_seed\011_seed_jobs_core_pipeline.sql,,2026-02-26 22:41:55,,1577
NEW,scripts,01_seed\012_seed_ingest_targets_top8_api_football.sql,,2026-02-27 22:39:44,,2005
NEW,scripts,01_seed\013_seed_import_plan_eu_exact_v1.sql,,2026-02-27 21:55:07,,3599
NEW,scripts,01_seed\014_apply_import_plan_eu_api_football.sql,,2026-02-27 22:38:25,,4663
NEW,scripts,01_seed\015_seed_import_plan_eu_major_v4.sql,,2026-02-27 22:51:15,,3944
NEW,scripts,01_seed\059_seed_ops_provider_jobs_multi_sport.sql,,2026-03-08 17:54:29,,0
NEW,scripts,01_seed\061_seed_ops_provider_accounts.sql,,2026-03-08 19:29:18,,0
NEW,scripts,01_seed\062_trigger_ops_provider_accounts_updated_at.sql,,2026-03-08 19:31:48,,0
NEW,scripts,01_seed\093_seed_sports_import_plan.sql,,2026-03-10 13:28:13,,1848
NEW,scripts,01_seed\094_api_budget_status.sql,,2026-03-10 13:31:57,,712
NEW,scripts,01_seed\095_v_api_budget_today.sql,,2026-03-10 13:30:05,,0
NEW,scripts,01_seed\096_seed_ingest_targets_from_league_import_plan.sql,,2026-03-10 17:49:24,,0
NEW,scripts,01_seed\100_seed_ingest_targets_from_leagues.sql,,2026-03-10 19:12:47,,366
NEW,scripts,01_seed\101_prioritize_ingest_targets.sql,,2026-03-10 19:59:17,,1115
NEW,scripts,01_seed\102_scheduler_queue.sql,,2026-03-10 20:11:37,,0
NEW,scripts,01_seed\104_set_free_mode_budget.sql,,2026-03-10 20:34:06,,0
