"id","sport_id","name","country","ext_source","ext_league_id","ext_csv_code","theodds_key","enabled_theodds","country_id","tier","is_cup","is_international","created_at","updated_at"
20933,1,Segunda Divisi?n,Venezuela,api_football,"300",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20934,1,Professional League,Oman,api_football,"406",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20935,1,Premier League,Jamaica,api_football,"322",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20936,1,League,Jordan,api_football,"387",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20937,1,"1. Division",Kazakhstan,api_football,"388",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20938,1,Premier League,Kuwait,api_football,"330",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20939,1,Superliga,Denmark,api_football,"119",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20940,1,"1. Division",Denmark,api_football,"120",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20941,1,Denmark Series - Group 1,Denmark,api_football,"124",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20942,1,Denmark Series - Group 2,Denmark,api_football,"125",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20943,1,Denmark Series - Group 3,Denmark,api_football,"126",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20944,1,Liga Nacional,Honduras,api_football,"234",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
