|canonical_country|canonical_league_name|team_id|name                      |ext_source      |ext_team_id       |
|Netherlands      |Eredivisie           |1,111  |Almere City               |football_data_uk|Almere City       |
|Netherlands      |Eredivisie           |23,508 |AZ                        |football_data   |682               |
|Netherlands      |Eredivisie           |1,106  |AZ Alkmaar                |football_data_uk|AZ Alkmaar        |
|Netherlands      |Eredivisie           |1,114  |Cambuur                   |football_data_uk|Cambuur           |
|Netherlands      |Eredivisie           |1,117  |Den Haag                  |football_data_uk|Den Haag          |
|Netherlands      |Eredivisie           |1,115  |FC Emmen                  |football_data_uk|FC Emmen          |
|Netherlands      |Eredivisie           |563    |FC Groningen              |football_data   |677               |
|Netherlands      |Eredivisie           |556    |FC Twente '65             |football_data   |666               |
|Netherlands      |Eredivisie           |562    |FC Utrecht                |football_data   |676               |
|Netherlands      |Eredivisie           |571    |FC Volendam               |football_data   |1919              |
|Netherlands      |Eredivisie           |1,098  |Feyenoord                 |football_data_uk|Feyenoord         |
|Netherlands      |Eredivisie           |23,498 |Feyenoord Rotterdam       |football_data   |675               |
|Netherlands      |Eredivisie           |572    |Fortuna Sittard           |football_data   |1920              |
|Netherlands      |Eredivisie           |568    |Go Ahead Eagles           |football_data   |718               |
|Netherlands      |Eredivisie           |1,118  |Graafschap                |football_data_uk|Graafschap        |
|Netherlands      |Eredivisie           |558    |Heracles Almelo           |football_data   |671               |
|Netherlands      |Eredivisie           |565    |NAC Breda                 |football_data   |681               |
|Netherlands      |Eredivisie           |570    |NEC                       |football_data   |1915              |
|Netherlands      |Eredivisie           |567    |PEC Zwolle                |football_data   |684               |
|Netherlands      |Eredivisie           |21,058 |PSV                       |football_data   |674               |
|Netherlands      |Eredivisie           |1,101  |PSV Eindhoven             |football_data_uk|PSV Eindhoven     |
|Netherlands      |Eredivisie           |557    |SBV Excelsior             |football_data   |670               |
|Netherlands      |Eredivisie           |559    |SC Heerenveen             |football_data   |673               |
|Netherlands      |Eredivisie           |573    |Sparta Rotterdam          |football_data   |6806              |
|Netherlands      |Eredivisie           |569    |Telstar 1963              |football_data   |1912              |
|Netherlands      |Eredivisie           |1,113  |Vitesse                   |football_data_uk|Vitesse           |
|Netherlands      |Eredivisie           |1,116  |VVV Venlo                 |football_data_uk|VVV Venlo         |
|Netherlands      |Eredivisie           |1,112  |Waalwijk                  |football_data_uk|Waalwijk          |
|Netherlands      |Eredivisie           |1,110  |Willem II                 |football_data_uk|Willem II         |
|Portugal         |Primeira Liga        |1,140  |Aves                      |football_data_uk|Aves              |
|Portugal         |Primeira Liga        |591    |AVS                       |football_data   |10340             |
|Portugal         |Primeira Liga        |1,139  |Belenenses                |football_data_uk|Belenenses        |
|Portugal         |Primeira Liga        |1,132  |Boavista                  |football_data_uk|Boavista          |
|Portugal         |Primeira Liga        |588    |Casa Pia AC               |football_data   |6618              |
|Portugal         |Primeira Liga        |582    |CD Nacional               |football_data   |5529              |
|Portugal         |Primeira Liga        |583    |CD Santa Clara            |football_data   |5530              |
|Portugal         |Primeira Liga        |580    |CD Tondela                |football_data   |1049              |
|Portugal         |Primeira Liga        |590    |CF Estrela da Amadora     |football_data   |9136              |
|Portugal         |Primeira Liga        |1,136  |Chaves                    |football_data_uk|Chaves            |
|Portugal         |Primeira Liga        |1,133  |Farense                   |football_data_uk|Farense           |
|Portugal         |Primeira Liga        |589    |FC Alverca                |football_data   |7822              |
|Portugal         |Primeira Liga        |579    |FC Arouca                 |football_data   |712               |
|Portugal         |Primeira Liga        |584    |FC Famalicão              |football_data   |5531              |
|Portugal         |Primeira Liga        |576    |FC Porto                  |football_data   |503               |
|Portugal         |Primeira Liga        |1,142  |Feirense                  |football_data_uk|Feirense          |
|Portugal         |Primeira Liga        |577    |GD Estoril Praia          |football_data   |582               |
|Portugal         |Primeira Liga        |585    |Gil Vicente FC            |football_data   |5533              |
|Portugal         |Primeira Liga        |1,137  |Maritimo                  |football_data_uk|Maritimo          |
|Portugal         |Primeira Liga        |578    |Moreirense FC             |football_data   |583               |
|Portugal         |Primeira Liga        |1,138  |Pacos Ferreira            |football_data_uk|Pacos Ferreira    |
|Portugal         |Primeira Liga        |1,134  |Portimonense              |football_data_uk|Portimonense      |
|Portugal         |Primeira Liga        |574    |Rio Ave FC                |football_data   |496               |
|Portugal         |Primeira Liga        |1,141  |Setubal                   |football_data_uk|Setubal           |
|Portugal         |Primeira Liga        |587    |Sporting Clube de Braga   |football_data   |5613              |
|Portugal         |Primeira Liga        |87     |Sporting Clube de Portugal|football_data   |498               |
|Portugal         |Primeira Liga        |99     |Sport Lisboa e Benfica    |football_data   |1903              |
|Portugal         |Primeira Liga        |586    |Vitória SC                |football_data   |5543              |
|Portugal         |Primeira Liga        |1,135  |Vizela                    |football_data_uk|Vizela            |
