|table_name|constraint_name|constraint_type|column_name|foreign_table_schema|foreign_table_name|foreign_column_name|
|provider_people_audit|106567_442370_8_not_null|CHECK|||||
|provider_people_audit|106567_442370_9_not_null|CHECK|||||
|provider_people_audit|provider_people_audit_entity_check|CHECK||ops|provider_people_audit|entity|
|provider_people_audit|provider_people_audit_pkey|PRIMARY KEY|id|ops|provider_people_audit|id|
|provider_people_audit|ux_provider_people_audit|UNIQUE|provider|ops|provider_people_audit|provider|
|provider_people_audit|ux_provider_people_audit|UNIQUE|provider|ops|provider_people_audit|entity|
|provider_people_audit|ux_provider_people_audit|UNIQUE|provider|ops|provider_people_audit|sport_code|
|provider_people_audit|ux_provider_people_audit|UNIQUE|sport_code|ops|provider_people_audit|entity|
|provider_people_audit|ux_provider_people_audit|UNIQUE|sport_code|ops|provider_people_audit|provider|
|provider_people_audit|ux_provider_people_audit|UNIQUE|sport_code|ops|provider_people_audit|sport_code|
|provider_people_audit|ux_provider_people_audit|UNIQUE|entity|ops|provider_people_audit|provider|
|provider_people_audit|ux_provider_people_audit|UNIQUE|entity|ops|provider_people_audit|entity|
|provider_people_audit|ux_provider_people_audit|UNIQUE|entity|ops|provider_people_audit|sport_code|
|provider_sport_matrix|106567_311303_10_not_null|CHECK|||||
|provider_sport_matrix|106567_311303_11_not_null|CHECK|||||
|provider_sport_matrix|106567_311303_12_not_null|CHECK|||||
|provider_sport_matrix|106567_311303_13_not_null|CHECK|||||
|provider_sport_matrix|106567_311303_15_not_null|CHECK|||||
|provider_sport_matrix|106567_311303_16_not_null|CHECK|||||
|provider_sport_matrix|106567_311303_1_not_null|CHECK|||||
|provider_sport_matrix|106567_311303_2_not_null|CHECK|||||
|provider_sport_matrix|106567_311303_3_not_null|CHECK|||||
|provider_sport_matrix|106567_311303_5_not_null|CHECK|||||
|provider_sport_matrix|106567_311303_6_not_null|CHECK|||||
|provider_sport_matrix|106567_311303_7_not_null|CHECK|||||
|provider_sport_matrix|106567_311303_8_not_null|CHECK|||||
|provider_sport_matrix|106567_311303_9_not_null|CHECK|||||
|provider_sport_matrix|fk_provider_sport_matrix_sport|FOREIGN KEY|sport_code||||
|provider_sport_matrix|provider_sport_matrix_pkey|PRIMARY KEY|id|ops|provider_sport_matrix|id|
|provider_sport_matrix|uq_provider_sport_matrix|UNIQUE|provider|ops|provider_sport_matrix|provider|
|provider_sport_matrix|uq_provider_sport_matrix|UNIQUE|provider|ops|provider_sport_matrix|sport_code|
|provider_sport_matrix|uq_provider_sport_matrix|UNIQUE|sport_code|ops|provider_sport_matrix|provider|
|provider_sport_matrix|uq_provider_sport_matrix|UNIQUE|sport_code|ops|provider_sport_matrix|sport_code|
|runtime_entity_audit|106567_466948_10_not_null|CHECK|||||
|runtime_entity_audit|106567_466948_11_not_null|CHECK|||||
|runtime_entity_audit|106567_466948_12_not_null|CHECK|||||
|runtime_entity_audit|106567_466948_13_not_null|CHECK|||||
|runtime_entity_audit|106567_466948_14_not_null|CHECK|||||
|runtime_entity_audit|106567_466948_15_not_null|CHECK|||||
|runtime_entity_audit|106567_466948_1_not_null|CHECK|||||
|runtime_entity_audit|106567_466948_23_not_null|CHECK|||||
|runtime_entity_audit|106567_466948_24_not_null|CHECK|||||
|runtime_entity_audit|106567_466948_2_not_null|CHECK|||||
|runtime_entity_audit|106567_466948_3_not_null|CHECK|||||
|runtime_entity_audit|106567_466948_4_not_null|CHECK|||||
|runtime_entity_audit|106567_466948_5_not_null|CHECK|||||
|runtime_entity_audit|106567_466948_7_not_null|CHECK|||||
|runtime_entity_audit|106567_466948_8_not_null|CHECK|||||
|runtime_entity_audit|106567_466948_9_not_null|CHECK|||||
|runtime_entity_audit|chk_runtime_entity_audit_state|CHECK||ops|runtime_entity_audit|current_state|
|runtime_entity_audit|runtime_entity_audit_pkey|PRIMARY KEY|id|ops|runtime_entity_audit|id|
|runtime_entity_audit|uq_runtime_entity_audit|UNIQUE|provider|ops|runtime_entity_audit|provider|
|runtime_entity_audit|uq_runtime_entity_audit|UNIQUE|provider|ops|runtime_entity_audit|entity|
|runtime_entity_audit|uq_runtime_entity_audit|UNIQUE|provider|ops|runtime_entity_audit|sport_code|
|runtime_entity_audit|uq_runtime_entity_audit|UNIQUE|sport_code|ops|runtime_entity_audit|entity|
|runtime_entity_audit|uq_runtime_entity_audit|UNIQUE|sport_code|ops|runtime_entity_audit|provider|
|runtime_entity_audit|uq_runtime_entity_audit|UNIQUE|sport_code|ops|runtime_entity_audit|sport_code|
|runtime_entity_audit|uq_runtime_entity_audit|UNIQUE|entity|ops|runtime_entity_audit|provider|
|runtime_entity_audit|uq_runtime_entity_audit|UNIQUE|entity|ops|runtime_entity_audit|sport_code|
|runtime_entity_audit|uq_runtime_entity_audit|UNIQUE|entity|ops|runtime_entity_audit|entity|
|scheduler_queue|106567_221256_11_not_null|CHECK|||||
|scheduler_queue|106567_221256_12_not_null|CHECK|||||
|scheduler_queue|106567_221256_13_not_null|CHECK|||||
|scheduler_queue|106567_221256_14_not_null|CHECK|||||
|scheduler_queue|106567_221256_1_not_null|CHECK|||||
|scheduler_queue|106567_221256_2_not_null|CHECK|||||
|scheduler_queue|106567_221256_3_not_null|CHECK|||||
|scheduler_queue|106567_221256_4_not_null|CHECK|||||
|scheduler_queue|106567_221256_5_not_null|CHECK|||||
|scheduler_queue|106567_221256_6_not_null|CHECK|||||
|scheduler_queue|106567_221256_7_not_null|CHECK|||||
|scheduler_queue|106567_221256_8_not_null|CHECK|||||
|scheduler_queue|106567_221256_9_not_null|CHECK|||||
|scheduler_queue|scheduler_queue_pkey|PRIMARY KEY|id|ops|scheduler_queue|id|
|schema_migrations|106567_172034_1_not_null|CHECK|||||
|schema_migrations|106567_172034_2_not_null|CHECK|||||
|schema_migrations|106567_172034_3_not_null|CHECK|||||
|schema_migrations|schema_migrations_filename_key|UNIQUE|filename|ops|schema_migrations|filename|
|schema_migrations|schema_migrations_pkey|PRIMARY KEY|id|ops|schema_migrations|id|
|sport_completion_audit|106567_442413_10_not_null|CHECK|||||
|sport_completion_audit|106567_442413_11_not_null|CHECK|||||
|sport_completion_audit|106567_442413_12_not_null|CHECK|||||
|sport_completion_audit|106567_442413_17_not_null|CHECK|||||
|sport_completion_audit|106567_442413_18_not_null|CHECK|||||
|sport_completion_audit|106567_442413_1_not_null|CHECK|||||
|sport_completion_audit|106567_442413_2_not_null|CHECK|||||
|sport_completion_audit|106567_442413_3_not_null|CHECK|||||
|sport_completion_audit|106567_442413_4_not_null|CHECK|||||
|sport_completion_audit|106567_442413_5_not_null|CHECK|||||
|sport_completion_audit|106567_442413_6_not_null|CHECK|||||
|sport_completion_audit|106567_442413_9_not_null|CHECK|||||
|sport_completion_audit|sport_completion_audit_pkey|PRIMARY KEY|id|ops|sport_completion_audit|id|
|sport_completion_audit|ux_sport_completion_audit|UNIQUE|sport_code|ops|sport_completion_audit|sport_code|
|sport_completion_audit|ux_sport_completion_audit|UNIQUE|sport_code|ops|sport_completion_audit|entity|
|sport_completion_audit|ux_sport_completion_audit|UNIQUE|entity|ops|sport_completion_audit|sport_code|
|sport_completion_audit|ux_sport_completion_audit|UNIQUE|entity|ops|sport_completion_audit|entity|
