|sport|provider             |entity  |provider_role  |structure_status |provider_status    |build_mode          |next_build_step               |rows_count|
|FH   |api_field_hockey     |teams   |CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|HB   |api_handball         |coaches |PEOPLE_PROVIDER|STRUCTURE_READY  |ALT_PROVIDER_NEEDED|PREPARE_ALT_PROVIDER|ADD_ALT_PEOPLE_PROVIDER_SLOT  |1         |
|HB   |api_handball         |fixtures|CORE_PROVIDER  |STRUCTURE_READY  |REVIEW_PROVIDER    |EXPAND_CORE         |PREPARE_SHARED_SPORT_MODEL    |1         |
|HB   |api_handball         |leagues |CORE_PROVIDER  |STRUCTURE_READY  |REVIEW_PROVIDER    |EXPAND_CORE         |PREPARE_SHARED_SPORT_MODEL    |1         |
|HB   |api_handball         |odds    |ODDS_PROVIDER  |STRUCTURE_READY  |REVIEW_PROVIDER    |EXPAND_CORE         |PREPARE_SHARED_SPORT_MODEL    |1         |
|HB   |api_handball         |players |PEOPLE_PROVIDER|STRUCTURE_READY  |ALT_PROVIDER_NEEDED|PREPARE_ALT_PROVIDER|ADD_ALT_PEOPLE_PROVIDER_SLOT  |1         |
|HB   |api_handball         |teams   |CORE_PROVIDER  |STRUCTURE_READY  |REVIEW_PROVIDER    |EXPAND_CORE         |PREPARE_SHARED_SPORT_MODEL    |1         |
|HK   |api_hockey           |coaches |PEOPLE_PROVIDER|DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |281       |
|HK   |api_hockey           |coaches |PEOPLE_PROVIDER|STRUCTURE_READY  |ALT_PROVIDER_NEEDED|PREPARE_ALT_PROVIDER|ADD_ALT_PEOPLE_PROVIDER_SLOT  |243       |
|HK   |api_hockey           |fixtures|CORE_PROVIDER  |STRUCTURE_READY  |ACTIVE_PROVIDER    |EXPAND_CORE         |NORMALIZE_TO_SHARED_CORE_MODEL|243       |
|HK   |api_hockey           |fixtures|CORE_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |281       |
|HK   |api_hockey           |leagues |CORE_PROVIDER  |STRUCTURE_READY  |ACTIVE_PROVIDER    |EXPAND_CORE         |NORMALIZE_TO_SHARED_CORE_MODEL|243       |
|HK   |api_hockey           |leagues |CORE_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |281       |
|HK   |api_hockey           |odds    |ODDS_PROVIDER  |STRUCTURE_READY  |ACTIVE_PROVIDER    |EXPAND_CORE         |PREPARE_SHARED_ODDS_MODEL     |243       |
|HK   |api_hockey           |odds    |ODDS_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |281       |
|HK   |api_hockey           |players |PEOPLE_PROVIDER|DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |281       |
|HK   |api_hockey           |players |PEOPLE_PROVIDER|STRUCTURE_READY  |ALT_PROVIDER_NEEDED|PREPARE_ALT_PROVIDER|ADD_ALT_PEOPLE_PROVIDER_SLOT  |243       |
|HK   |api_hockey           |teams   |CORE_PROVIDER  |STRUCTURE_READY  |ACTIVE_PROVIDER    |EXPAND_CORE         |NORMALIZE_TO_SHARED_CORE_MODEL|243       |
|HK   |api_hockey           |teams   |CORE_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |281       |
|MMA  |api_mma              |coaches |PEOPLE_PROVIDER|STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|MMA  |api_mma              |fixtures|CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|MMA  |api_mma              |leagues |CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|MMA  |api_mma              |odds    |ODDS_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|MMA  |api_mma              |players |PEOPLE_PROVIDER|STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|MMA  |api_mma              |teams   |CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|RGB  |api_rugby            |coaches |PEOPLE_PROVIDER|STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|RGB  |api_rugby            |fixtures|CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|RGB  |api_rugby            |leagues |CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|RGB  |api_rugby            |odds    |ODDS_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|RGB  |api_rugby            |players |PEOPLE_PROVIDER|STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|RGB  |api_rugby            |teams   |CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
