|sport|provider             |entity  |status    |rows_count|enabled_rows|rows_with_data|fixtures_count|teams_count|odds_count|players_count|coaches_count|last_job_started_at          |last_job_success_at|
|RGB  |api_rugby            |odds    |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|RGB  |api_rugby            |players |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|RGB  |api_rugby            |teams   |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|TN   |api_tennis           |coaches |planned   |2         |2           |0             |0             |0          |0         |0            |0            |                             |                   |
|TN   |api_tennis           |fixtures|planned   |2         |2           |0             |0             |0          |0         |0            |0            |                             |                   |
|TN   |api_tennis           |leagues |planned   |2         |2           |0             |0             |0          |0         |0            |0            |                             |                   |
|TN   |api_tennis           |odds    |planned   |2         |2           |0             |0             |0          |0         |0            |0            |                             |                   |
|TN   |api_tennis           |players |planned   |2         |2           |0             |0             |0          |0         |0            |0            |                             |                   |
|TN   |api_tennis           |teams   |planned   |2         |2           |0             |0             |0          |0         |0            |0            |                             |                   |
|VB   |api_volleyball       |coaches |tech_ready|1         |1           |0             |0             |0          |0         |0            |0            |2026-03-25 10:14:38.761 +0100|                   |
|VB   |api_volleyball       |fixtures|tech_ready|1         |1           |0             |0             |0          |0         |0            |0            |2026-03-25 10:14:38.761 +0100|                   |
|VB   |api_volleyball       |leagues |tech_ready|1         |1           |0             |0             |0          |0         |0            |0            |2026-03-25 10:14:38.761 +0100|                   |
|VB   |api_volleyball       |odds    |tech_ready|1         |1           |0             |0             |0          |0         |0            |0            |2026-03-25 10:14:38.761 +0100|                   |
|VB   |api_volleyball       |players |tech_ready|1         |1           |0             |0             |0          |0         |0            |0            |2026-03-25 10:14:38.761 +0100|                   |
|VB   |api_volleyball       |teams   |tech_ready|1         |1           |0             |0             |0          |0         |0            |0            |2026-03-25 10:14:38.761 +0100|                   |
