"file_name","full_path","folder","sport","entity","role"
"pull_api_tennis_odds_v1.py","C:\MatchMatrix-platform\ingest\API-Tennis\pull_api_tennis_odds_v1.py","C:\MatchMatrix-platform\ingest","UNKNOWN","odds","pull"
"run_parse_tennis_odds_v1.py","C:\MatchMatrix-platform\ingest\API-Tennis\run_parse_tennis_odds_v1.py","C:\MatchMatrix-platform\ingest","UNKNOWN","odds","runner"
"run_pull_tennis_odds_raw_v1.py","C:\MatchMatrix-platform\ingest\API-Tennis\run_pull_tennis_odds_raw_v1.py","C:\MatchMatrix-platform\ingest","UNKNOWN","odds","runner"
"run_theodds_parse_multi_FINAL.bat","C:\MatchMatrix-platform\ingest\TheOdds\run_theodds_parse_multi_FINAL.bat","C:\MatchMatrix-platform\ingest","UNKNOWN","odds","runner"
"run_parse_tennis_odds_v1.py","C:\MatchMatrix-platform\workers\run_parse_tennis_odds_v1.py","C:\MatchMatrix-platform\workers","UNKNOWN","odds","runner"
"run_theodds_ingest_v1.py","C:\MatchMatrix-platform\workers\run_theodds_ingest_v1.py","C:\MatchMatrix-platform\workers","UNKNOWN","odds","runner"
"run_theodds_ingest_v2.py","C:\MatchMatrix-platform\workers\run_theodds_ingest_v2.py","C:\MatchMatrix-platform\workers","UNKNOWN","odds","runner"
"run_theodds_ingest_v3.py","C:\MatchMatrix-platform\workers\run_theodds_ingest_v3.py","C:\MatchMatrix-platform\workers","UNKNOWN","odds","runner"
"run_player_profiles_public_merge_v1.cpython-314.pyc","C:\MatchMatrix-platform\workers\__pycache__\run_player_profiles_public_merge_v1.cpython-314.pyc","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"run_audit_player_season_statistics_report_docker_v1.ps1","C:\MatchMatrix-platform\workers\run_audit_player_season_statistics_report_docker_v1.ps1","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"run_audit_player_season_statistics_report_v1.ps1","C:\MatchMatrix-platform\workers\run_audit_player_season_statistics_report_v1.ps1","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"run_fb_players_wave1_pro.ps1","C:\MatchMatrix-platform\workers\run_fb_players_wave1_pro.ps1","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"run_player_profiles_public_merge_v1.py","C:\MatchMatrix-platform\workers\run_player_profiles_public_merge_v1.py","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"run_player_season_statistics_public_merge_v1.py","C:\MatchMatrix-platform\workers\run_player_season_statistics_public_merge_v1.py","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"run_player_season_statistics_stage_parser_v1.py","C:\MatchMatrix-platform\workers\run_player_season_statistics_stage_parser_v1.py","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"run_players_bridge_v4.py","C:\MatchMatrix-platform\workers\run_players_bridge_v4.py","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"run_players_fetch_bk_only_v1.py","C:\MatchMatrix-platform\workers\run_players_fetch_bk_only_v1.py","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"run_players_fetch_hk_only_v1.py","C:\MatchMatrix-platform\workers\run_players_fetch_hk_only_v1.py","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"run_players_fetch_only_v1.py","C:\MatchMatrix-platform\workers\run_players_fetch_only_v1.py","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"run_players_parse_hk_only_v1.py","C:\MatchMatrix-platform\workers\run_players_parse_hk_only_v1.py","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"run_players_parse_only_v1.py","C:\MatchMatrix-platform\workers\run_players_parse_only_v1.py","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"run_players_pipeline_hk_v1.py","C:\MatchMatrix-platform\workers\run_players_pipeline_hk_v1.py","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"run_players_pipeline_merge_only_v1.ps1","C:\MatchMatrix-platform\workers\run_players_pipeline_merge_only_v1.ps1","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"run_players_pipeline_transitional_v1.py","C:\MatchMatrix-platform\workers\run_players_pipeline_transitional_v1.py","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"run_players_public_merge_v2.py","C:\MatchMatrix-platform\workers\run_players_public_merge_v2.py","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"run_players_season_stats_bridge_v3.py","C:\MatchMatrix-platform\workers\run_players_season_stats_bridge_v3.py","C:\MatchMatrix-platform\workers","UNKNOWN","players","runner"
"parse_api_baseball_teams_to_staging.py","C:\MatchMatrix-platform\ingest\API-Baseball\parse_api_baseball_teams_to_staging.py","C:\MatchMatrix-platform\ingest","UNKNOWN","teams","parser"
"parse_api_rugby_teams_to_staging.py","C:\MatchMatrix-platform\ingest\API-Rugby\parse_api_rugby_teams_to_staging.py","C:\MatchMatrix-platform\ingest","UNKNOWN","teams","parser"
"pull_api_rugby_teams.ps1","C:\MatchMatrix-platform\ingest\API-Rugby\pull_api_rugby_teams.ps1","C:\MatchMatrix-platform\ingest","UNKNOWN","teams","pull"
"pull_api_sport_teams.ps1","C:\MatchMatrix-platform\ingest\API-Sport\pull_api_sport_teams.ps1","C:\MatchMatrix-platform\ingest","UNKNOWN","teams","pull"
"run_parse_api_sport_teams_v1.py","C:\MatchMatrix-platform\workers\run_parse_api_sport_teams_v1.py","C:\MatchMatrix-platform\workers","UNKNOWN","teams","runner"
"run_team_coach_history_public_merge_v1.py","C:\MatchMatrix-platform\workers\run_team_coach_history_public_merge_v1.py","C:\MatchMatrix-platform\workers","UNKNOWN","teams","runner"
"build_ingest_planner_jobs.py","C:\MatchMatrix-platform\workers\build_ingest_planner_jobs.py","C:\MatchMatrix-platform\workers","UNKNOWN","UNKNOWN","ingest"
"run_compute_mmr_ratings.bat","C:\MatchMatrix-platform\ingest\run_compute_mmr_ratings.bat","C:\MatchMatrix-platform\ingest","UNKNOWN","UNKNOWN","runner"
"run_train_baseline_logreg.bat","C:\MatchMatrix-platform\ingest\run_train_baseline_logreg.bat","C:\MatchMatrix-platform\ingest","UNKNOWN","UNKNOWN","runner"
"run_train_gbm_v3.bat","C:\MatchMatrix-platform\ingest\run_train_gbm_v3.bat","C:\MatchMatrix-platform\ingest","UNKNOWN","UNKNOWN","runner"
"run_unified_ingest_batch_v1.py","C:\MatchMatrix-platform\ingest\run_unified_ingest_batch_v1.py","C:\MatchMatrix-platform\ingest","UNKNOWN","UNKNOWN","runner"
"run_unified_ingest_v1.py","C:\MatchMatrix-platform\ingest\run_unified_ingest_v1.py","C:\MatchMatrix-platform\ingest","UNKNOWN","UNKNOWN","runner"
"452_auto_run_recommended_strategy.py","C:\MatchMatrix-platform\workers\452_auto_run_recommended_strategy.py","C:\MatchMatrix-platform\workers","UNKNOWN","UNKNOWN","runner"
"run_ingest_cycle_v3.py","C:\MatchMatrix-platform\workers\run_ingest_cycle_v3.py","C:\MatchMatrix-platform\workers","UNKNOWN","UNKNOWN","runner"
"run_ingest_planner_jobs.py","C:\MatchMatrix-platform\workers\run_ingest_planner_jobs.py","C:\MatchMatrix-platform\workers","UNKNOWN","UNKNOWN","runner"
"run_multisport_scheduler_v4.py","C:\MatchMatrix-platform\workers\run_multisport_scheduler_v4.py","C:\MatchMatrix-platform\workers","UNKNOWN","UNKNOWN","runner"
"run_scheduler_queue_executor_v2.py","C:\MatchMatrix-platform\workers\run_scheduler_queue_executor_v2.py","C:\MatchMatrix-platform\workers","UNKNOWN","UNKNOWN","runner"
"run_unified_staging_to_public_merge_v3.py","C:\MatchMatrix-platform\workers\run_unified_staging_to_public_merge_v3.py","C:\MatchMatrix-platform\workers","UNKNOWN","UNKNOWN","runner"
"pull_api_volleyball_players.ps1","C:\MatchMatrix-platform\ingest\API-Volleyball\pull_api_volleyball_players.ps1","C:\MatchMatrix-platform\ingest","VB","players","pull"
