|table_schema|table_name|ordinal_position|column_name|data_type|udt_name|is_nullable|column_default|
|ops|provider_people_audit|16|final_verdict|text|text|YES||
|ops|provider_people_audit|17|requires_pro|boolean|bool|NO|false|
|ops|provider_people_audit|18|alternative_provider_needed|boolean|bool|NO|false|
|ops|provider_people_audit|19|evidence_note|text|text|YES||
|ops|provider_people_audit|20|next_step|text|text|YES||
|ops|provider_people_audit|21|priority_rank|integer|int4|YES||
|ops|provider_people_audit|22|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|provider_people_audit|23|updated_at|timestamp with time zone|timestamptz|NO|now()|
|ops|provider_sport_matrix|1|id|bigint|int8|NO|nextval('ops.provider_sport_matrix_id_seq'::regclass)|
|ops|provider_sport_matrix|2|provider|text|text|NO||
|ops|provider_sport_matrix|3|sport_code|text|text|NO||
|ops|provider_sport_matrix|4|sport_name|text|text|YES||
|ops|provider_sport_matrix|5|is_enabled|boolean|bool|NO|true|
|ops|provider_sport_matrix|6|supports_leagues|boolean|bool|NO|true|
|ops|provider_sport_matrix|7|supports_teams|boolean|bool|NO|true|
|ops|provider_sport_matrix|8|supports_fixtures|boolean|bool|NO|true|
|ops|provider_sport_matrix|9|supports_players|boolean|bool|NO|false|
|ops|provider_sport_matrix|10|supports_player_stats|boolean|bool|NO|false|
|ops|provider_sport_matrix|11|supports_odds|boolean|bool|NO|false|
|ops|provider_sport_matrix|12|supports_coaches|boolean|bool|NO|false|
|ops|provider_sport_matrix|13|supports_standings|boolean|bool|NO|false|
|ops|provider_sport_matrix|14|notes|text|text|YES||
|ops|provider_sport_matrix|15|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|provider_sport_matrix|16|updated_at|timestamp with time zone|timestamptz|NO|now()|
|ops|runtime_entity_audit|1|id|bigint|int8|NO|nextval('ops.runtime_entity_audit_id_seq'::regclass)|
|ops|runtime_entity_audit|2|provider|text|text|NO||
|ops|runtime_entity_audit|3|sport_code|text|text|NO||
|ops|runtime_entity_audit|4|entity|text|text|NO||
|ops|runtime_entity_audit|5|current_state|text|text|NO|'NOT_TESTED'::text|
|ops|runtime_entity_audit|6|state_reason|text|text|YES||
|ops|runtime_entity_audit|7|panel_runner_exists|boolean|bool|NO|false|
|ops|runtime_entity_audit|8|planner_target_exists|boolean|bool|NO|false|
|ops|runtime_entity_audit|9|batch_target_exists|boolean|bool|NO|false|
|ops|runtime_entity_audit|10|pull_confirmed|boolean|bool|NO|false|
|ops|runtime_entity_audit|11|raw_confirmed|boolean|bool|NO|false|
|ops|runtime_entity_audit|12|staging_confirmed|boolean|bool|NO|false|
|ops|runtime_entity_audit|13|provider_map_confirmed|boolean|bool|NO|false|
|ops|runtime_entity_audit|14|public_merge_confirmed|boolean|bool|NO|false|
|ops|runtime_entity_audit|15|downstream_confirmed|boolean|bool|NO|false|
|ops|runtime_entity_audit|16|last_run_group|text|text|YES||
|ops|runtime_entity_audit|17|last_run_at|timestamp with time zone|timestamptz|YES||
|ops|runtime_entity_audit|18|last_check_at|timestamp with time zone|timestamptz|YES||
|ops|runtime_entity_audit|19|last_log_summary|text|text|YES||
|ops|runtime_entity_audit|20|db_evidence_summary|text|text|YES||
|ops|runtime_entity_audit|21|next_action|text|text|YES||
|ops|runtime_entity_audit|22|audit_note|text|text|YES||
|ops|runtime_entity_audit|23|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|runtime_entity_audit|24|updated_at|timestamp with time zone|timestamptz|NO|now()|
|ops|scheduler_queue|1|id|bigint|int8|NO|nextval('ops.scheduler_queue_id_seq'::regclass)|
|ops|scheduler_queue|2|queue_day|date|date|NO|CURRENT_DATE|
|ops|scheduler_queue|3|sport_code|text|text|NO||
|ops|scheduler_queue|4|target_id|bigint|int8|NO||
|ops|scheduler_queue|5|canonical_league_id|bigint|int8|NO||
|ops|scheduler_queue|6|provider|text|text|NO||
|ops|scheduler_queue|7|provider_league_id|text|text|NO||
|ops|scheduler_queue|8|season|text|text|NO|''::text|
|ops|scheduler_queue|9|tier|integer|int4|NO||
|ops|scheduler_queue|10|run_group|text|text|YES||
|ops|scheduler_queue|11|max_requests_per_run|integer|int4|NO|1|
|ops|scheduler_queue|12|status|text|text|NO|'pending'::text|
|ops|scheduler_queue|13|selected_by|text|text|NO|'run_multisport_scheduler_v3'::text|
|ops|scheduler_queue|14|selected_at|timestamp with time zone|timestamptz|NO|now()|
|ops|scheduler_queue|15|started_at|timestamp with time zone|timestamptz|YES||
|ops|scheduler_queue|16|finished_at|timestamp with time zone|timestamptz|YES||
|ops|scheduler_queue|17|message|text|text|YES||
|ops|schema_migrations|1|id|bigint|int8|NO|nextval('ops.schema_migrations_id_seq'::regclass)|
|ops|schema_migrations|2|filename|text|text|NO||
|ops|schema_migrations|3|applied_at|timestamp with time zone|timestamptz|NO|now()|
|ops|sport_completion_audit|1|id|bigint|int8|NO|nextval('ops.sport_completion_audit_id_seq'::regclass)|
|ops|sport_completion_audit|2|sport_code|text|text|NO||
|ops|sport_completion_audit|3|entity|text|text|NO||
|ops|sport_completion_audit|4|layer_type|text|text|NO||
|ops|sport_completion_audit|5|current_status|text|text|NO||
|ops|sport_completion_audit|6|production_readiness|text|text|NO||
|ops|sport_completion_audit|7|provider_primary|text|text|YES||
|ops|sport_completion_audit|8|provider_fallback|text|text|YES||
|ops|sport_completion_audit|9|db_layer_ready|boolean|bool|NO|false|
|ops|sport_completion_audit|10|planner_ready|boolean|bool|NO|false|
|ops|sport_completion_audit|11|queue_ready|boolean|bool|NO|false|
|ops|sport_completion_audit|12|public_ready|boolean|bool|NO|false|
|ops|sport_completion_audit|13|key_gap|text|text|YES||
|ops|sport_completion_audit|14|next_step|text|text|YES||
|ops|sport_completion_audit|15|evidence_note|text|text|YES||
|ops|sport_completion_audit|16|priority_rank|integer|int4|YES||
|ops|sport_completion_audit|17|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|sport_completion_audit|18|updated_at|timestamp with time zone|timestamptz|NO|now()|
|ops|sport_dimension_rules|1|id|bigint|int8|NO|nextval('ops.sport_dimension_rules_id_seq'::regclass)|
|ops|sport_dimension_rules|2|sport_code|text|text|NO||
|ops|sport_dimension_rules|3|uses_teams|boolean|bool|NO|true|
|ops|sport_dimension_rules|4|uses_players|boolean|bool|NO|true|
|ops|sport_dimension_rules|5|uses_coaches|boolean|bool|NO|false|
|ops|sport_dimension_rules|6|uses_seasons|boolean|bool|NO|true|
|ops|sport_dimension_rules|7|uses_rounds|boolean|bool|NO|true|
|ops|sport_dimension_rules|8|uses_rankings|boolean|bool|NO|false|
|ops|sport_dimension_rules|9|uses_surfaces|boolean|bool|NO|false|
|ops|sport_dimension_rules|10|uses_weight_classes|boolean|bool|NO|false|
|ops|sport_dimension_rules|11|uses_sets|boolean|bool|NO|false|
|ops|sport_dimension_rules|12|uses_legs|boolean|bool|NO|false|
|ops|sport_dimension_rules|13|match_side_1_label|text|text|NO|'home'::text|
|ops|sport_dimension_rules|14|match_side_2_label|text|text|NO|'away'::text|
|ops|sport_dimension_rules|15|entity_model|text|text|NO|'team_vs_team'::text|
|ops|sport_dimension_rules|16|notes|text|text|YES||
|ops|sport_dimension_rules|17|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|sport_dimension_rules|18|updated_at|timestamp with time zone|timestamptz|NO|now()|
|ops|sport_entity_rules|1|id|bigint|int8|NO|nextval('ops.sport_entity_rules_id_seq'::regclass)|
|ops|sport_entity_rules|2|sport_code|text|text|NO||
|ops|sport_entity_rules|3|entity|text|text|NO||
|ops|sport_entity_rules|4|is_enabled|boolean|bool|NO|true|
|ops|sport_entity_rules|5|priority|integer|int4|NO|100|
|ops|sport_entity_rules|6|default_run_group|text|text|YES||
|ops|sport_entity_rules|7|requires_season|boolean|bool|NO|false|
|ops|sport_entity_rules|8|requires_league|boolean|bool|NO|false|
|ops|sport_entity_rules|9|requires_team|boolean|bool|NO|false|
|ops|sport_entity_rules|10|requires_player|boolean|bool|NO|false|
|ops|sport_entity_rules|11|requires_match|boolean|bool|NO|false|
|ops|sport_entity_rules|12|source_endpoint|text|text|YES||
|ops|sport_entity_rules|13|parser_name|text|text|YES||
|ops|sport_entity_rules|14|merge_target|text|text|YES||
|ops|sport_entity_rules|15|notes|text|text|YES||
|ops|sport_entity_rules|16|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|sport_entity_rules|17|updated_at|timestamp with time zone|timestamptz|NO|now()|
|ops|sports_import_plan|1|id|bigint|int8|NO|nextval('ops.sports_import_plan_id_seq'::regclass)|
|ops|sports_import_plan|2|sport_code|text|text|NO||
|ops|sports_import_plan|3|sport_name|text|text|NO||
|ops|sports_import_plan|4|enabled|boolean|bool|NO|true|
|ops|sports_import_plan|5|priority|integer|int4|NO|100|
|ops|sports_import_plan|6|mode|text|text|NO|'bootstrap'::text|
|ops|sports_import_plan|7|provider|text|text|NO|'api-sports'::text|
|ops|sports_import_plan|8|daily_request_budget|integer|int4|NO|7500|
|ops|sports_import_plan|9|max_parallel_jobs|integer|int4|NO|1|
|ops|sports_import_plan|10|history_days_back|integer|int4|NO|3650|
|ops|sports_import_plan|11|fixtures_days_forward|integer|int4|NO|14|
|ops|sports_import_plan|12|odds_days_forward|integer|int4|NO|3|
|ops|sports_import_plan|13|notes|text|text|YES||
|ops|sports_import_plan|14|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|sports_import_plan|15|updated_at|timestamp with time zone|timestamptz|NO|now()|
|ops|v_api_budget_today|1|sport_plan_id|bigint|int8|YES||
|ops|v_api_budget_today|2|sport_code|text|text|YES||
|ops|v_api_budget_today|3|sport_name|text|text|YES||
|ops|v_api_budget_today|4|enabled|boolean|bool|YES||
|ops|v_api_budget_today|5|priority|integer|int4|YES||
|ops|v_api_budget_today|6|mode|text|text|YES||
|ops|v_api_budget_today|7|provider|text|text|YES||
|ops|v_api_budget_today|8|daily_request_budget|integer|int4|YES||
|ops|v_api_budget_today|9|max_parallel_jobs|integer|int4|YES||
|ops|v_api_budget_today|10|request_day|date|date|YES||
|ops|v_api_budget_today|11|requests_used|integer|int4|YES||
|ops|v_api_budget_today|12|requests_limit|integer|int4|YES||
|ops|v_api_budget_today|13|requests_remaining|integer|int4|YES||
|ops|v_api_budget_today|14|last_updated|timestamp with time zone|timestamptz|YES||
|ops|v_dashboard_summary|1|sport_code|text|text|YES||
|ops|v_dashboard_summary|2|total_entities|bigint|int8|YES||
|ops|v_dashboard_summary|3|planned_cnt|bigint|int8|YES||
|ops|v_dashboard_summary|4|tech_ready_cnt|bigint|int8|YES||
|ops|v_dashboard_summary|5|runtime_tested_cnt|bigint|int8|YES||
|ops|v_dashboard_summary|6|blocked_cnt|bigint|int8|YES||
|ops|v_dashboard_summary|7|ready_cnt|bigint|int8|YES||
