|id   |sport_code|canonical_league_id|provider    |provider_league_id|season|enabled|tier|run_group      |fixtures_days_back|fixtures_days_forward|max_requests_per_run|updated_at                   |
|4,510|FB        |20,904             |api_football|69                |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,733|FB        |20,905             |api_football|7                 |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,843|FB        |20,906             |api_football|8                 |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,711|FB        |20,907             |api_football|186               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,001|FB        |20,908             |api_football|187               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,563|FB        |20,909             |api_football|512               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,819|FB        |20,910             |api_football|513               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,282|FB        |20,911             |api_football|516               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,882|FB        |20,912             |api_football|312               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,106|FB        |20,913             |api_football|313               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,571|FB        |20,914             |api_football|131               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,281|FB        |20,915             |api_football|129               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,733|FB        |20,916             |api_football|132               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,782|FB        |20,917             |api_football|133               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,674|FB        |20,918             |api_football|134               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,838|FB        |20,919             |api_football|188               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,718|FB        |20,920             |api_football|191               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,799|FB        |20,921             |api_football|193               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,386|FB        |20,922             |api_football|220               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,633|FB        |20,923             |api_football|219               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,184|FB        |20,924             |api_football|218               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,350|FB        |20,925             |api_football|418               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|4,680|FB        |20,926             |api_football|419               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
|3,775|FB        |20,927             |api_football|222               |2024  |true   |3   |FB_BOOTSTRAP_V1|7                 |14                   |20                  |2026-03-23 16:29:18.405 +0100|
