|id   |provider        |sport_code|entity  |provider_league_id|season|run_group           |priority|status |attempts|last_attempt                 |next_run                     |created_at                   |updated_at                   |
|1,097|api_hockey      |HK        |leagues |224               |      |HK_TOP              |2,010   |error  |1       |2026-03-22 00:10:23.968 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-22 00:10:24.586 +0100|
|996  |api_football    |football  |leagues |                  |      |                    |10      |done   |1       |2026-03-22 09:25:58.979 +0100|                             |2026-03-20 10:56:49.510 +0100|2026-03-22 09:30:45.461 +0100|
|1,004|api_football    |FB        |leagues |                  |2022  |                    |10      |done   |1       |2026-03-22 09:30:45.490 +0100|                             |2026-03-20 10:56:49.510 +0100|2026-03-22 09:35:39.253 +0100|
|1,011|api_hockey      |HK        |leagues |                  |      |                    |10      |done   |1       |2026-03-22 09:35:39.279 +0100|                             |2026-03-20 10:56:49.510 +0100|2026-03-22 09:35:41.065 +0100|
|1,017|api_basketball  |BK        |leagues |                  |      |                    |10      |error  |1       |2026-03-22 09:35:41.094 +0100|                             |2026-03-20 10:56:49.510 +0100|2026-03-22 09:35:41.288 +0100|
|1,227|api_football    |FB        |teams   |173               |2022  |FB_API_EXPANSION    |20      |pending|0       |                             |2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|
|1,218|api_football    |FB        |players |119               |2022  |FB_API_EXPANSION    |20      |running|1       |2026-03-22 13:22:32.849 +0100|2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|2026-03-22 13:22:32.849 +0100|
|1,212|api_football    |FB        |fixtures|110               |2022  |FB_API_EXPANSION    |20      |done   |1       |2026-03-22 12:00:30.150 +0100|                             |2026-03-22 11:55:26.056 +0100|2026-03-22 12:01:16.203 +0100|
|1,117|api_hockey      |HK        |fixtures|110               |      |HK_TOP              |5,000   |pending|0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-25 15:34:27.650 +0100|
|1,215|api_football    |FB        |teams   |119               |2022  |FB_API_EXPANSION    |20      |done   |1       |2026-03-22 12:53:54.260 +0100|                             |2026-03-22 11:55:26.056 +0100|2026-03-22 12:53:58.035 +0100|
|1,216|api_football    |FB        |fixtures|119               |2022  |FB_API_EXPANSION    |20      |done   |1       |2026-03-22 13:02:22.800 +0100|                             |2026-03-22 11:55:26.056 +0100|2026-03-22 13:03:08.352 +0100|
|1,220|api_football    |FB        |fixtures|120               |2022  |FB_API_EXPANSION    |20      |done   |1       |2026-03-23 13:44:32.063 +0100|                             |2026-03-22 11:55:26.056 +0100|2026-03-23 13:45:21.153 +0100|
|1,222|api_football    |FB        |players |120               |2022  |FB_API_EXPANSION    |20      |error  |1       |2026-03-22 13:26:34.473 +0100|2026-03-22 11:55:26.056 +0100|2026-03-22 11:55:26.056 +0100|2026-03-22 13:26:52.364 +0100|
|1,226|api_football    |FB        |players |135               |2022  |FB_API_EXPANSION    |20      |done   |1       |2026-03-22 13:31:12.939 +0100|                             |2026-03-22 11:55:26.056 +0100|2026-03-22 13:31:31.568 +0100|
|1,224|api_football    |FB        |fixtures|135               |2022  |FB_API_EXPANSION    |20      |done   |1       |2026-03-23 13:45:21.197 +0100|                             |2026-03-22 11:55:26.056 +0100|2026-03-23 13:46:54.385 +0100|
|1,228|api_football    |FB        |fixtures|173               |2022  |FB_API_EXPANSION    |20      |done   |1       |2026-03-23 13:46:54.413 +0100|                             |2026-03-22 11:55:26.056 +0100|2026-03-23 13:48:07.557 +0100|
|1,123|api_hockey      |HK        |fixtures|142               |      |HK_TOP              |2,030   |done   |1       |2026-03-31 12:05:59.156 +0200|                             |2026-03-21 15:17:24.251 +0100|2026-03-31 12:06:00.505 +0200|
|1,219|api_football    |FB        |teams   |120               |2022  |FB_API_EXPANSION    |20      |done   |1       |2026-03-23 15:09:59.784 +0100|                             |2026-03-22 11:55:26.056 +0100|2026-03-23 15:10:03.713 +0100|
|1,129|api_hockey      |HK        |fixtures|265               |      |HK_TOP              |2,030   |done   |1       |2026-03-31 12:06:00.532 +0200|                             |2026-03-21 15:17:24.251 +0100|2026-03-31 12:06:02.018 +0200|
|1,223|api_football    |FB        |teams   |135               |2022  |FB_API_EXPANSION    |20      |done   |1       |2026-03-23 15:10:04.679 +0100|                             |2026-03-22 11:55:26.056 +0100|2026-03-23 15:10:10.194 +0100|
|1,105|api_hockey      |HK        |fixtures|214               |      |HK_TOP              |2,030   |done   |1       |2026-03-25 14:58:32.895 +0100|                             |2026-03-21 15:17:24.251 +0100|2026-03-25 19:18:32.786 +0100|
|1,092|api_hockey      |HK        |teams   |146               |      |HK_TOP              |2,020   |done   |1       |2026-03-25 13:18:26.309 +0100|                             |2026-03-21 15:17:24.251 +0100|2026-03-25 19:18:32.778 +0100|
|1,098|api_hockey      |HK        |teams   |224               |      |HK_TOP              |2,020   |done   |1       |2026-03-25 13:46:18.480 +0100|                             |2026-03-21 15:17:24.251 +0100|2026-03-25 19:18:32.778 +0100|
|1,096|api_hockey      |HK        |coaches |146               |      |HK_TOP              |2,060   |done   |0       |                             |2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|2026-03-21 15:17:24.251 +0100|
|1,104|api_hockey      |HK        |teams   |214               |      |HK_TOP              |2,020   |done   |1       |2026-03-25 13:51:37.958 +0100|                             |2026-03-21 15:17:24.251 +0100|2026-03-25 19:18:32.778 +0100|
