|league_id|league_name                      |teams_in_league|total_players_in_league|avg_players_per_team|
|21,281   |Asian Cup - Qualification                   |0              |0                      |0                   |
|24,556   |Asian Cup Women                             |0              |0                      |0                   |
|21,750   |Asian Cup Women                             |0              |0                      |0                   |
|23,864   |Asian Cup Women                             |0              |0                      |0                   |
|21,749   |Asian Cup Women - Qualification             |0              |0                      |0                   |
|23,863   |Asian Cup Women - Qualification             |0              |0                      |0                   |
|20,863   |Asian Games                                 |0              |0                      |0                   |
|22,992   |Asian Games                                 |0              |0                      |0                   |
|24,516   |Asian Games                                 |0              |0                      |0                   |
|23,390   |Asian Games                                 |0              |0                      |0                   |
|22,574   |Asian Games                                 |0              |0                      |0                   |
|22,382   |Asian Games Women                           |0              |0                      |0                   |
|24,480   |Asian Games Women                           |0              |0                      |0                   |
|22,993   |Asian Games Women                           |0              |0                      |0                   |
|10,001   |ATP Tour                                    |0              |0                      |0                   |
|23,821   |Australia Cup                               |0              |0                      |0                   |
|21,706   |Australia Cup                               |0              |0                      |0                   |
|24,164   |Australian Championship                     |0              |0                      |0                   |
|22,048   |Australian Championship                     |0              |0                      |0                   |
|24,500   |Austria Cup                                 |0              |0                      |0                   |
|23,019   |Austria Cup                                 |0              |0                      |0                   |
|24,632   |Austria Cup Women                           |0              |0                      |0                   |
|24,481   |AVL                                         |0              |0                      |0                   |
|24,539   |AVL                                         |0              |0                      |0                   |
|24,549   |AVL Women                                   |0              |0                      |0                   |
|24,483   |AVL Women                                   |0              |0                      |0                   |
|23,020   |AWBL Women                                  |0              |0                      |0                   |
|21,590   |AXA Women?s Super League                    |0              |0                      |0                   |
|23,705   |AXA Women’s Super League                    |0              |0                      |0                   |
|21,117   |Azadegan League                             |0              |0                      |0                   |
|23,194   |B2.League                                   |0              |0                      |0                   |
|21,464   |Baiano - 1                                  |0              |0                      |0                   |
|23,579   |Baiano - 1                                  |0              |0                      |0                   |
|23,563   |Baiano - 2                                  |0              |0                      |0                   |
|21,407   |Baiano - 2                                  |0              |0                      |0                   |
|21,927   |Baiano U20                                  |0              |0                      |0                   |
|24,038   |Baiano U20                                  |0              |0                      |0                   |
|22,973   |BAL                                         |0              |0                      |0                   |
|21,670   |Baltic Cup                                  |0              |0                      |0                   |
|23,784   |Baltic Cup                                  |0              |0                      |0                   |
|22,513   |Baltic League                               |0              |0                      |0                   |
|23,078   |Baltic League                               |0              |0                      |0                   |
|23,079   |Baltic League Cup                           |0              |0                      |0                   |
|23,080   |Baltic League Women                         |0              |0                      |0                   |
|23,301   |Basketettan W                               |0              |0                      |0                   |
|23,158   |Basket League                               |0              |0                      |0                   |
|23,303   |Basketligan W                               |0              |0                      |0                   |
|23,152   |BBL                                         |0              |0                      |0                   |
|22,364   |Beijer Hockey Games                         |0              |0                      |0                   |
|22,395   |Belarusian Cup                              |0              |0                      |0                   |
|23,028   |Belgian Cup                                 |0              |0                      |0                   |
|22,378   |Belgian Cup                                 |0              |0                      |0                   |
|24,664   |Belgian Cup                                 |0              |0                      |0                   |
|24,538   |Belgian Cup Women                           |0              |0                      |0                   |
|22,475   |BeNe League                                 |0              |0                      |0                   |
|23,082   |BIBL                                        |0              |0                      |0                   |
|23,339   |BIG3                                        |0              |0                      |0                   |
|20,925   |Birinci Dasta                               |12             |0                      |0                   |
|23,195   |BJ League                                   |0              |0                      |0                   |
|23,193   |B League                                    |0              |0                      |0                   |
|23,233   |BLNO                                        |0              |0                      |0                   |
